Name,Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME,Budget,Percentage in 4 hours or less (type 1)
Barts Health NHS Trust,1,2024,8,6,4,2909244,172920,173681,174991,159973,192591,256886,264159,240303,217902,194046,187558,166990,132079,100077,87859,61966,46082,44802,1454622,2200000000,0.66571334
Barts Health NHS Trust,2,2024,11,9,7,2909244,172920,173681,174991,159973,192591,256886,264159,240303,217902,194046,187558,166990,132079,100077,87859,61966,46082,44802,1454622,2200000000,0.647603007
Barts Health NHS Trust,3,2024,12,9,6,2909244,172920,173681,174991,159973,192591,256886,264159,240303,217902,194046,187558,166990,132079,100077,87859,61966,46082,44802,1454622,2200000000,0.730340613
Barts Health NHS Trust,4,2024,13,10,7,2909244,172920,173681,174991,159973,192591,256886,264159,240303,217902,194046,187558,166990,132079,100077,87859,61966,46082,44802,1454622,2200000000,0.654413014
Barts Health NHS Trust,5,2024,18,14,10,2909244,172920,173681,174991,159973,192591,256886,264159,240303,217902,194046,187558,166990,132079,100077,87859,61966,46082,44802,1454622,2200000000,0.670437065
Northumbria Healthcare NHS Foundation Trust,1,2024,7,5,3,321600,14198,16697,17398,15699,13893,15899,16896,17398,17398,19698,23197,25798,24798,22598,23016,15796,10580,9583,4984,806090000,0.864828231
Northumbria Healthcare NHS Foundation Trust,2,2024,9,7,5,321600,14198,16697,17398,15699,13893,15899,16896,17398,17398,19698,23197,25798,24798,22598,23016,15796,10580,9583,4984,806090000,0.857843613
Northumbria Healthcare NHS Foundation Trust,3,2024,9,7,5,321600,14198,16697,17398,15699,13893,15899,16896,17398,17398,19698,23197,25798,24798,22598,23016,15796,10580,9583,4984,806090000,0.840184838
Northumbria Healthcare NHS Foundation Trust,4,2024,11,8,5,321600,14198,16697,17398,15699,13893,15899,16896,17398,17398,19698,23197,25798,24798,22598,23016,15796,10580,9583,4984,806090000,0.857169434
Northumbria Healthcare NHS Foundation Trust,5,2024,15,12,9,321600,14198,16697,17398,15699,13893,15899,16896,17398,17398,19698,23197,25798,24798,22598,23016,15796,10580,9583,4984,806090000,0.870039343
Airedale NHS Foundation Trust,1,2024,6,4,2,16432,742,836,898,852,696,834,898,887,888,1012,1248,1324,1206,1068,1123,810,630,534,513,305000000,0.507369081
Airedale NHS Foundation Trust,2,2024,8,6,4,16432,742,836,898,852,696,834,898,887,888,1012,1248,1324,1206,1068,1123,810,630,534,513,305000000,0.566078925
Airedale NHS Foundation Trust,3,2024,9,6,4,16432,742,836,898,852,696,834,898,887,888,1012,1248,1324,1206,1068,1123,810,630,534,513,305000000,0.689049746
Airedale NHS Foundation Trust,4,2024,11,7,4,16432,742,836,898,852,696,834,898,887,888,1012,1248,1324,1206,1068,1123,810,630,534,513,305000000,0.700811993
Airedale NHS Foundation Trust,5,2024,16,12,9,16432,742,836,898,852,696,834,898,887,888,1012,1248,1324,1206,1068,1123,810,630,534,513,305000000,0.652653631
Leeds Teaching Hospitals NHS Trust,1,2024,7,5,3,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.759912414
Leeds Teaching Hospitals NHS Trust,2,2024,9,7,5,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.73104574
Leeds Teaching Hospitals NHS Trust,3,2024,10,7,5,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.76814687
Leeds Teaching Hospitals NHS Trust,4,2024,12,8,5,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.774447789
Leeds Teaching Hospitals NHS Trust,5,2024,17,13,10,855486,49301,52184,50773,54494,74256,63844,63844,59627,54468,51722,53519,50773,42876,35502,36306,25279,18538,18119,126410,2091182000,0.752345625
East Cheshire NHS Trust,1,2024,7,4,2,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.506899724
East Cheshire NHS Trust,2,2024,10,7,4,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.491819057
East Cheshire NHS Trust,3,2024,10,7,4,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.535408902
East Cheshire NHS Trust,4,2024,12,8,5,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.529520295
East Cheshire NHS Trust,5,2024,16,13,9,400500,19992,22203,22988,19784,17662,21803,24390,24590,24009,26681,30442,30638,25712,22403,24510,18062,12535,12055,22428,209410000,0.505571605
Wye Valley NHS Trust,1,2024,7,4,2,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.526483051
Wye Valley NHS Trust,2,2024,10,7,4,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.54921466
Wye Valley NHS Trust,3,2024,10,7,3,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.588521248
Wye Valley NHS Trust,4,2024,12,8,4,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.622359854
Wye Valley NHS Trust,5,2024,16,12,8,187600,8423,9530,10136,9117,8216,9623,10524,10336,9830,11237,13638,14651,13638,12546,13038,9717,6716,6522,5815,383983000,0.624626866
